일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
42322,18.2,2.3,1.8,1.1,6.8
42322.04167,18.1,2.4,1.7,1.1,6.6
42322.08333,18.1,2.6,1.7,1.1,6.6
42322.125,18.1,2.4,1.7,1.1,6.8
42322.16667,18.1,2.1,1.8,1.1,7.3
42322.20833,18.1,2.3,1.7,1.1,7.2
42322.25,17.9,2.2,1.6,1,7.2
42322.29167,17.9,2.2,1.6,1,7.2
42322.33333,18,1.8,1.5,0.9,6.9
42322.375,18,1.8,1.3,0.8,6.9
42322.41667,18,1.7,1.3,0.8,7.1
42322.45833,18.1,1.9,1.3,0.8,6.7
42322.5,18.1,1.6,1.1,0.7,6.6
42322.54167,18.1,1.4,1.1,0.7,6.7
42322.58333,18.2,1.5,1.2,0.7,7
42322.625,18.1,1.4,1,0.6,6.7
42322.66667,18.2,1.4,1,0.6,7
42322.70833,18.2,1.3,0.9,0.6,6.6
42322.75,18.1,1.2,1,0.6,6.8
42322.79167,18.1,1.5,1.1,0.7,6.2
42322.83333,18.2,2.1,1.5,1,6.4
42322.875,18.2,2.1,1.5,0.9,6.2
42322.91667,18.2,2.5,1.6,0.9,6.2
42322.95833,18.2,2.2,1.4,0.9,6.3
42323,18.3,1.8,1.3,0.9,6.4
42323.04167,18.3,1.8,1.3,0.8,6.1
42323.08333,18.5,1.4,1.1,0.7,5.9
42323.125,18.6,1.3,1,0.6,5.9
42323.16667,18.5,1.1,0.9,0.6,5.7
42323.20833,18.5,1,0.8,0.5,5.8
42323.25,18.5,1.1,0.8,0.5,6.3
42323.29167,18.5,1,0.8,0.5,5.9
42323.33333,18.5,0.9,0.7,0.5,5.9
42323.375,18.1,1,0.8,0.5,5.8
42323.41667,17.9,1.1,0.8,0.5,5.7
42323.45833,18,1.2,0.8,0.5,6
42323.5,18.3,1.1,0.8,0.5,5.8
42323.54167,18.3,1.1,0.8,0.5,5.8
42323.58333,18.3,1.3,0.9,0.6,6
42323.625,18.4,1.2,0.9,0.6,5.9
42323.66667,18.5,1.1,0.9,0.5,6.1
42323.70833,18.5,1,0.8,0.5,6.1
42323.75,18.5,1.1,0.7,0.5,6
42323.79167,18.3,0.9,0.7,0.5,6.1
42323.83333,18.4,1,0.7,0.4,6.1
42323.875,18.3,0.9,0.7,0.4,6.1
42323.91667,18.4,0.9,0.6,0.4,6
42323.95833,18.5,1,0.6,0.4,6.1
42324,18.5,0.9,0.6,0.4,6.2
42324.04167,18.2,1,0.7,0.5,6.3
42324.08333,18.2,1,0.7,0.4,6.3
42324.125,18.2,0.9,0.6,0.4,6.3
42324.16667,18.2,0.8,0.6,0.4,6.2
42324.20833,18.2,0.8,0.6,0.4,5.6
42324.25,18.2,0.8,0.6,0.4,6
42324.29167,18.1,0.7,0.6,0.4,6
42324.33333,18.2,0.9,0.7,0.4,6.7
42324.375,18.3,0.7,0.6,0.4,6.4
42324.41667,18.2,0.8,0.6,0.4,5.8
42324.45833,18.2,0.8,0.6,0.4,4.5
42324.5,18.2,0.8,0.7,0.4,4.8
42324.54167,18.3,0.9,0.7,0.4,4.8
42324.58333,18.3,1,0.7,0.5,5
42324.625,18.3,1.1,0.7,0.4,4.1
42324.66667,18.2,0.9,0.6,0.4,4.6
42324.70833,18.2,0.8,0.5,0.3,4.4
42324.75,18.2,0.7,0.5,0.3,4.2
42324.79167,18.3,0.8,0.6,0.4,4.5
42324.83333,18.3,0.9,0.6,0.4,4.1
42324.875,18.2,0.9,0.6,0.4,4.6
42324.91667,18.2,0.8,0.6,0.4,4.3
42324.95833,,0.8,0.6,0.4,4.5
42325,,0.8,0.6,0.4,4.6
42325.04167,,0.8,0.6,0.4,4.4
42325.08333,,0.9,0.6,0.4,4.5
