,time,temp,max_peak,sig_peak,avg_peak,freq
0,42322.0,18.2,2.3,1.8,1.1,6.8
1,42322.04167,18.1,2.4,1.7,1.1,6.6
2,42322.08333,18.1,2.6,1.7,1.1,6.6
3,42322.125,18.1,2.4,1.7,1.1,6.8
4,42322.16667,18.1,2.1,1.8,1.1,7.3
5,42322.20833,18.1,2.3,1.7,1.1,7.2
6,42322.25,17.9,2.2,1.6,1.0,7.2
7,42322.29167,17.9,2.2,1.6,1.0,7.2
8,42322.33333,18.0,1.8,1.5,0.9,6.9
9,42322.375,18.0,1.8,1.3,0.8,6.9
10,42322.41667,18.0,1.7,1.3,0.8,7.1
11,42322.45833,18.1,1.9,1.3,0.8,6.7
12,42322.5,18.1,1.6,1.1,0.7,6.6
13,42322.54167,18.1,1.4,1.1,0.7,6.7
14,42322.58333,18.2,1.5,1.2,0.7,7.0
15,42322.625,18.1,1.4,1.0,0.6,6.7
16,42322.66667,18.2,1.4,1.0,0.6,7.0
17,42322.70833,18.2,1.3,0.9,0.6,6.6
18,42322.75,18.1,1.2,1.0,0.6,6.8
19,42322.79167,18.1,1.5,1.1,0.7,6.2
20,42322.83333,18.2,2.1,1.5,1.0,6.4
21,42322.875,18.2,2.1,1.5,0.9,6.2
22,42322.91667,18.2,2.5,1.6,0.9,6.2
23,42322.95833,18.2,2.2,1.4,0.9,6.3
24,42323.0,18.3,1.8,1.3,0.9,6.4
25,42323.04167,18.3,1.8,1.3,0.8,6.1
26,42323.08333,18.5,1.4,1.1,0.7,5.9
27,42323.125,18.6,1.3,1.0,0.6,5.9
28,42323.16667,18.5,1.1,0.9,0.6,5.7
29,42323.20833,18.5,1.0,0.8,0.5,5.8
30,42323.25,18.5,1.1,0.8,0.5,6.3
31,42323.29167,18.5,1.0,0.8,0.5,5.9
32,42323.33333,18.5,0.9,0.7,0.5,5.9
33,42323.375,18.1,1.0,0.8,0.5,5.8
34,42323.41667,17.9,1.1,0.8,0.5,5.7
35,42323.45833,18.0,1.2,0.8,0.5,6.0
36,42323.5,18.3,1.1,0.8,0.5,5.8
37,42323.54167,18.3,1.1,0.8,0.5,5.8
38,42323.58333,18.3,1.3,0.9,0.6,6.0
39,42323.625,18.4,1.2,0.9,0.6,5.9
40,42323.66667,18.5,1.1,0.9,0.5,6.1
41,42323.70833,18.5,1.0,0.8,0.5,6.1
42,42323.75,18.5,1.1,0.7,0.5,6.0
43,42323.79167,18.3,0.9,0.7,0.5,6.1
44,42323.83333,18.4,1.0,0.7,0.4,6.1
45,42323.875,18.3,0.9,0.7,0.4,6.1
46,42323.91667,18.4,0.9,0.6,0.4,6.0
47,42323.95833,18.5,1.0,0.6,0.4,6.1
48,42324.0,18.5,0.9,0.6,0.4,6.2
49,42324.04167,18.2,1.0,0.7,0.5,6.3
50,42324.08333,18.2,1.0,0.7,0.4,6.3
51,42324.125,18.2,0.9,0.6,0.4,6.3
52,42324.16667,18.2,0.8,0.6,0.4,6.2
53,42324.20833,18.2,0.8,0.6,0.4,5.6
54,42324.25,18.2,0.8,0.6,0.4,6.0
55,42324.29167,18.1,0.7,0.6,0.4,6.0
56,42324.33333,18.2,0.9,0.7,0.4,6.7
57,42324.375,18.3,0.7,0.6,0.4,6.4
58,42324.41667,18.2,0.8,0.6,0.4,5.8
59,42324.45833,18.2,0.8,0.6,0.4,4.5
60,42324.5,18.2,0.8,0.7,0.4,4.8
61,42324.54167,18.3,0.9,0.7,0.4,4.8
62,42324.58333,18.3,1.0,0.7,0.5,5.0
63,42324.625,18.3,1.1,0.7,0.4,4.1
64,42324.66667,18.2,0.9,0.6,0.4,4.6
65,42324.70833,18.2,0.8,0.5,0.3,4.4
66,42324.75,18.2,0.7,0.5,0.3,4.2
67,42324.79167,18.3,0.8,0.6,0.4,4.5
68,42324.83333,18.3,0.9,0.6,0.4,4.1
69,42324.875,18.2,0.9,0.6,0.4,4.6
70,42324.91667,18.2,0.8,0.6,0.4,4.3
71,42324.95833,0.0,0.8,0.6,0.4,4.5
72,42325.0,0.0,0.8,0.6,0.4,4.6
73,42325.04167,0.0,0.8,0.6,0.4,4.4
74,42325.08333,0.0,0.9,0.6,0.4,4.5
75,42325.125,0.0,0.9,0.6,0.4,4.5
76,42325.16667,0.0,1.0,0.7,0.5,4.9
77,42325.20833,0.0,1.3,0.9,0.6,5.0
78,42325.25,0.0,1.4,1.1,0.7,5.2
79,42325.29167,0.0,1.5,1.1,0.7,5.5
80,42325.33333,0.0,1.6,1.1,0.7,5.7
81,42325.375,0.0,1.5,1.2,0.7,5.9
82,42325.41667,0.0,1.7,1.2,0.8,6.1
83,42325.45833,0.0,1.6,1.1,0.7,6.4
84,42325.5,0.0,1.7,1.3,0.8,6.5
85,42325.54167,0.0,1.7,1.2,0.7,5.8
86,42325.58333,0.0,1.7,1.3,0.9,6.0
87,42325.625,0.0,1.8,1.2,0.8,5.5
88,42325.66667,0.0,1.6,1.2,0.8,5.8
89,42325.70833,0.0,1.4,1.1,0.7,5.7
90,42325.75,0.0,1.5,1.0,0.7,5.5
91,42325.79167,0.0,1.4,1.1,0.7,5.2
92,42325.83333,0.0,1.4,1.1,0.7,5.7
93,42325.875,0.0,1.6,1.1,0.7,5.3
94,42325.91667,0.0,1.6,1.1,0.7,5.2
95,42325.95833,0.0,1.4,1.1,0.7,5.5
96,42326.0,0.0,1.4,1.1,0.7,5.3
97,42326.04167,0.0,2.0,1.3,0.8,5.0
98,42326.08333,0.0,2.0,1.4,0.9,5.3
99,42326.125,0.0,2.0,1.5,0.9,5.3
100,42326.16667,0.0,2.0,1.6,1.0,5.4
101,42326.20833,0.0,2.3,1.7,1.1,5.7
102,42326.25,0.0,2.3,1.7,1.1,5.6
103,42326.29167,0.0,2.9,2.1,1.3,6.0
104,42326.33333,0.0,2.9,2.5,1.6,6.7
105,42326.375,0.0,3.7,2.7,1.7,6.9
106,42326.41667,0.0,4.2,3.0,1.9,7.1
107,42326.45833,0.0,3.9,3.1,1.9,7.6
108,42326.5,0.0,5.2,3.6,2.3,8.0
109,42326.54167,0.0,4.8,3.3,2.1,8.1
110,42326.58333,0.0,4.0,3.5,2.2,8.3
111,42326.625,0.0,3.7,3.3,1.9,8.3
112,42326.66667,0.0,4.3,3.4,2.2,8.0
113,42326.70833,0.0,4.2,3.0,1.9,7.9
114,42326.75,0.0,4.1,3.2,2.1,7.6
115,42326.79167,0.0,4.1,3.4,2.3,8.0
116,42326.83333,0.0,4.3,3.1,2.0,8.3
117,42326.875,0.0,4.4,3.3,2.1,8.2
