일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),"Label(Swell : 1, non-Swell : 0)"
42005,14.7,1.6,1.1,0.6,7.2,0
42005.04167,14.6,1.5,1,0.6,7,0
42005.08333,15.2,1.1,0.9,0.5,7,0
42005.125,15.1,1.2,0.9,0.5,6.3,0
42005.16667,14.7,1.2,0.7,0.4,6.1,0
42005.20833,14.5,0.9,0.6,0.4,6,0
42005.25,14.4,1,0.6,0.4,6.2,0
42005.29167,14.4,1.1,0.8,0.5,7.3,0
42005.33333,14.3,1.6,1.1,0.7,7.2,0
42005.375,14.6,1.7,1.3,0.8,7.2,0
42005.41667,14.4,1.7,1.2,0.8,7.2,0
42005.45833,14.3,1.9,1.4,0.8,7.2,0
42005.5,14.3,1.8,1.3,0.7,7.2,0
42005.54167,14.3,1.5,1.3,0.8,7.7,0
42005.58333,14.3,1.9,1.4,0.8,7.6,0
42005.625,14.2,2.4,1.6,0.9,8.2,0
42005.66667,14.5,2.1,1.6,1,8.4,0
42005.70833,15,2.6,2.1,1.3,8.9,0
42005.75,15,2.7,2.1,1.3,8.8,0
42005.79167,14.7,2.6,1.8,1.2,9,0
42005.83333,14.7,3.1,2.2,1.4,9,0
42005.875,14.7,3.3,2.2,1.3,9,0
42005.91667,14.7,3,2.3,1.4,9.1,0
42005.95833,14.6,2.9,2.1,1.3,9,0
42006,14.9,2.6,2.1,1.3,9.1,0
42006.04167,14.7,2.9,1.9,1.1,8.7,0
42006.08333,14.5,2.1,1.8,1.1,8.9,0
42006.125,14.3,2.2,1.7,1,8.8,0
42006.16667,14.3,2.5,1.9,1.2,8.9,0
42006.20833,14.5,2.7,2.2,1.4,9.3,0
42006.25,14.5,2.2,1.5,0.9,8.6,0
42006.29167,14.5,2.4,1.7,1,9,1
42006.33333,14.8,2.2,1.8,1.1,8.9,1
42006.375,15,2.6,1.6,1,8.7,1
42006.41667,14.9,1.5,1.4,0.9,8.7,1
42006.45833,14.9,1.8,1.3,0.8,8.3,1
42006.5,14.8,2,1.6,1,8.8,1
42006.54167,14.6,1.7,1.5,0.9,8.6,0
42006.58333,14.8,1.8,1.4,0.9,8.4,0
42006.625,14.7,2,1.5,0.9,8.1,0
42006.66667,14.6,1.7,1.4,0.9,7.9,0
42006.70833,14.6,1.9,1.5,1,8,0
42006.75,14.7,2.4,1.8,1.1,8.1,0
42006.79167,14.8,2,1.6,1,7.7,0
42006.83333,15.1,2.5,1.6,1.1,7.9,0
42006.875,15.2,2.4,1.6,1,7.7,0
42006.91667,15.2,2.3,1.6,0.9,7.9,0
42006.95833,15.2,1.8,1.4,0.8,7.9,0
42007,15.1,1.6,1.2,0.7,7.6,0
42007.04167,14.9,1.6,1.1,0.7,7.6,0
42007.08333,14.5,1.5,1,0.6,7.1,0
42007.125,14.2,1.5,1.1,0.7,7.3,0
42007.16667,14.2,1.9,1.5,0.8,8.2,0
42007.20833,14.2,2,1.6,1,8.6,0
42007.25,14.1,2.1,1.7,1.1,8.5,0
