,time,temp,max_peak,sig_peak,avg_peak,freq,label
0,42005.0,14.7,1.6,1.1,0.6,7.2,0.0
1,42005.04167,14.6,1.5,1.0,0.6,7.0,0.0
2,42005.08333,15.2,1.1,0.9,0.5,7.0,0.0
3,42005.125,15.1,1.2,0.9,0.5,6.3,0.0
4,42005.16667,14.7,1.2,0.7,0.4,6.1,0.0
5,42005.20833,14.5,0.9,0.6,0.4,6.0,0.0
6,42005.25,14.4,1.0,0.6,0.4,6.2,0.0
7,42005.29167,14.4,1.1,0.8,0.5,7.3,0.0
8,42005.33333,14.3,1.6,1.1,0.7,7.2,0.0
9,42005.375,14.6,1.7,1.3,0.8,7.2,0.0
10,42005.41667,14.4,1.7,1.2,0.8,7.2,0.0
11,42005.45833,14.3,1.9,1.4,0.8,7.2,0.0
12,42005.5,14.3,1.8,1.3,0.7,7.2,0.0
13,42005.54167,14.3,1.5,1.3,0.8,7.7,0.0
14,42005.58333,14.3,1.9,1.4,0.8,7.6,0.0
15,42005.625,14.2,2.4,1.6,0.9,8.2,0.0
16,42005.66667,14.5,2.1,1.6,1.0,8.4,0.0
17,42005.70833,15.0,2.6,2.1,1.3,8.9,0.0
18,42005.75,15.0,2.7,2.1,1.3,8.8,0.0
19,42005.79167,14.7,2.6,1.8,1.2,9.0,0.0
20,42005.83333,14.7,3.1,2.2,1.4,9.0,0.0
21,42005.875,14.7,3.3,2.2,1.3,9.0,0.0
22,42005.91667,14.7,3.0,2.3,1.4,9.1,0.0
23,42005.95833,14.6,2.9,2.1,1.3,9.0,0.0
24,42006.0,14.9,2.6,2.1,1.3,9.1,0.0
25,42006.04167,14.7,2.9,1.9,1.1,8.7,0.0
26,42006.08333,14.5,2.1,1.8,1.1,8.9,0.0
27,42006.125,14.3,2.2,1.7,1.0,8.8,0.0
28,42006.16667,14.3,2.5,1.9,1.2,8.9,0.0
29,42006.20833,14.5,2.7,2.2,1.4,9.3,0.0
30,42006.25,14.5,2.2,1.5,0.9,8.6,0.0
31,42006.29167,14.5,2.4,1.7,1.0,9.0,1.0
32,42006.33333,14.8,2.2,1.8,1.1,8.9,1.0
33,42006.375,15.0,2.6,1.6,1.0,8.7,1.0
34,42006.41667,14.9,1.5,1.4,0.9,8.7,1.0
35,42006.45833,14.9,1.8,1.3,0.8,8.3,1.0
36,42006.5,14.8,2.0,1.6,1.0,8.8,1.0
37,42006.54167,14.6,1.7,1.5,0.9,8.6,0.0
38,42006.58333,14.8,1.8,1.4,0.9,8.4,0.0
39,42006.625,14.7,2.0,1.5,0.9,8.1,0.0
40,42006.66667,14.6,1.7,1.4,0.9,7.9,0.0
41,42006.70833,14.6,1.9,1.5,1.0,8.0,0.0
42,42006.75,14.7,2.4,1.8,1.1,8.1,0.0
43,42006.79167,14.8,2.0,1.6,1.0,7.7,0.0
44,42006.83333,15.1,2.5,1.6,1.1,7.9,0.0
45,42006.875,15.2,2.4,1.6,1.0,7.7,0.0
46,42006.91667,15.2,2.3,1.6,0.9,7.9,0.0
47,42006.95833,15.2,1.8,1.4,0.8,7.9,0.0
48,42007.0,15.1,1.6,1.2,0.7,7.6,0.0
49,42007.04167,14.9,1.6,1.1,0.7,7.6,0.0
50,42007.08333,14.5,1.5,1.0,0.6,7.1,0.0
51,42007.125,14.2,1.5,1.1,0.7,7.3,0.0
52,42007.16667,14.2,1.9,1.5,0.8,8.2,0.0
53,42007.20833,14.2,2.0,1.6,1.0,8.6,0.0
54,42007.25,14.1,2.1,1.7,1.1,8.5,0.0
55,42007.29167,14.1,1.9,1.5,0.9,8.3,0.0
56,42007.33333,14.1,1.7,1.3,0.8,8.2,0.0
57,42007.375,14.1,2.2,1.7,1.0,8.3,0.0
58,42007.41667,14.0,2.4,1.7,1.0,8.6,0.0
59,42007.45833,14.1,1.9,1.6,0.9,8.6,0.0
60,42007.5,14.8,2.8,2.3,1.4,8.5,0.0
61,42007.54167,15.0,2.2,1.8,1.1,8.4,0.0
62,42007.58333,14.7,1.6,1.4,0.9,8.2,0.0
63,42007.625,14.6,1.4,1.2,0.7,8.1,0.0
64,42007.66667,14.6,1.6,1.2,0.7,8.0,0.0
65,42007.70833,14.5,1.5,1.1,0.7,7.9,0.0
66,42007.75,14.4,1.1,1.0,0.6,8.1,0.0
67,42007.79167,14.4,1.0,0.8,0.5,7.7,0.0
68,42007.83333,14.6,1.0,0.9,0.5,8.0,0.0
69,42007.875,14.6,1.3,1.0,0.6,8.0,0.0
70,42007.91667,14.4,1.1,0.9,0.5,7.7,0.0
71,42007.95833,14.1,1.2,1.0,0.7,7.9,0.0
72,42008.0,14.5,1.4,1.0,0.7,7.6,0.0
73,42008.04167,14.7,1.2,0.9,0.5,7.9,0.0
74,42008.08333,14.5,1.0,0.8,0.5,7.7,0.0
75,42008.125,14.2,0.9,0.7,0.4,7.4,0.0
76,42008.16667,14.1,1.0,0.6,0.4,6.9,0.0
77,42008.20833,14.1,0.8,0.6,0.3,6.8,0.0
78,42008.25,14.1,0.8,0.6,0.3,7.1,0.0
79,42008.29167,14.0,0.8,0.6,0.3,7.2,0.0
80,42008.33333,13.9,0.8,0.5,0.3,6.8,0.0
81,42008.375,13.9,0.7,0.5,0.3,6.5,0.0
82,42008.41667,14.2,0.9,0.7,0.4,7.4,0.0
83,42008.45833,14.1,0.7,0.5,0.3,7.0,0.0
84,42008.5,14.1,0.7,0.5,0.3,6.7,0.0
85,42008.54167,14.0,0.7,0.6,0.3,6.8,0.0
86,42008.58333,14.0,0.7,0.5,0.3,6.3,0.0
87,42008.625,14.0,0.7,0.5,0.3,6.3,0.0
88,42008.66667,14.0,0.8,0.6,0.4,6.8,0.0
89,42008.70833,14.1,0.7,0.6,0.4,6.9,0.0
90,42008.75,14.2,0.8,0.6,0.4,7.0,0.0
91,42008.79167,14.2,0.8,0.7,0.5,7.3,0.0
92,42008.83333,15.4,1.1,0.8,0.5,7.3,0.0
93,42008.875,15.5,1.2,0.9,0.6,7.0,0.0
94,42008.91667,15.6,1.1,0.8,0.5,6.9,0.0
95,42008.95833,15.4,1.0,0.7,0.4,6.5,0.0
96,42009.0,15.2,0.9,0.7,0.5,7.1,0.0
97,42009.04167,15.1,0.9,0.6,0.4,6.5,0.0
98,42009.08333,14.8,0.8,0.5,0.4,6.0,0.0
99,42009.125,14.6,0.8,0.6,0.4,5.8,0.0
100,42009.16667,14.6,0.9,0.5,0.3,5.5,0.0
101,42009.20833,14.6,0.7,0.5,0.3,5.8,0.0
102,42009.25,15.2,0.8,0.6,0.4,6.6,0.0
103,42009.29167,15.3,0.7,0.6,0.4,6.4,0.0
104,42009.33333,15.3,0.6,0.5,0.3,6.4,0.0
105,42009.375,15.2,0.8,0.6,0.4,6.3,0.0
106,42009.41667,15.2,0.8,0.6,0.4,6.0,0.0
107,42009.45833,15.2,0.8,0.6,0.4,6.3,0.0
108,42009.5,15.2,0.8,0.6,0.3,6.1,0.0
109,42009.54167,15.1,0.8,0.5,0.3,5.7,0.0
110,42009.58333,15.2,0.7,0.5,0.3,4.7,0.0
111,42009.625,15.1,0.7,0.5,0.4,4.0,0.0
112,42009.66667,15.0,0.8,0.6,0.4,4.3,0.0
113,42009.70833,14.9,0.8,0.6,0.4,3.6,0.0
114,42009.75,14.9,0.8,0.6,0.4,3.4,0.0
115,42009.79167,14.8,0.8,0.6,0.4,3.6,0.0
116,42009.83333,14.6,0.7,0.5,0.3,3.7,0.0
117,42009.875,14.8,0.6,0.5,0.3,4.3,0.0
118,42009.91667,14.8,0.8,0.5,0.4,3.5,0.0
119,42009.95833,14.7,0.8,0.5,0.3,4.1,0.0
120,42010.0,14.7,0.7,0.5,0.3,3.8,0.0
121,42010.04167,14.6,0.8,0.5,0.3,4.4,0.0
122,42010.08333,14.5,0.6,0.5,0.3,4.9,0.0
123,42010.125,14.3,1.0,0.7,0.4,4.9,0.0
124,42010.16667,14.4,1.1,0.9,0.6,5.4,0.0
125,42010.20833,14.4,1.1,0.9,0.6,5.9,0.0
126,42010.25,14.3,1.3,1.1,0.7,6.5,0.0
127,42010.29167,14.8,1.5,1.2,0.8,7.3,0.0
128,42010.33333,14.9,1.1,1.0,0.6,7.1,0.0
129,42010.375,14.9,1.1,0.9,0.5,6.9,0.0
130,42010.41667,14.6,1.1,0.8,0.5,6.8,0.0
131,42010.45833,14.6,0.9,0.7,0.4,6.4,0.0
132,42010.5,14.5,0.9,0.6,0.4,6.0,0.0
133,42010.54167,14.4,0.8,0.5,0.3,6.5,0.0
134,42010.58333,14.3,0.5,0.4,0.3,6.4,0.0
135,42010.625,14.2,0.7,0.5,0.3,5.9,0.0
136,42010.66667,14.1,0.9,0.7,0.4,6.5,0.0
137,42010.70833,14.3,1.6,1.2,0.8,7.2,0.0
138,42010.75,14.7,2.2,1.6,1.0,7.8,0.0
139,42010.79167,15.5,3.2,2.0,1.3,7.9,0.0
140,42010.83333,15.5,2.7,1.8,1.1,7.7,0.0
141,42010.875,15.4,2.0,1.5,0.9,7.6,0.0
142,42010.91667,15.1,1.5,1.3,0.8,7.4,0.0
143,42010.95833,14.9,1.4,1.2,0.7,7.0,0.0
144,42011.0,14.7,1.6,1.3,0.8,7.5,0.0
145,42011.04167,14.6,2.5,2.0,1.2,8.9,0.0
146,42011.08333,14.4,3.3,2.6,1.6,9.3,0.0
147,42011.125,14.4,3.3,2.4,1.4,9.4,0.0
148,42011.16667,14.3,2.6,2.3,1.4,9.2,0.0
149,42011.20833,14.2,2.3,1.9,1.1,9.1,0.0
150,42011.25,14.2,2.5,2.0,1.1,9.0,0.0
151,42011.29167,14.1,2.7,1.9,1.1,9.2,0.0
152,42011.33333,14.1,2.5,1.9,1.1,8.7,0.0
153,42011.375,14.0,2.5,1.9,1.1,9.1,0.0
154,42011.41667,13.9,2.3,1.8,1.1,8.9,0.0
155,42011.45833,13.9,2.3,1.8,1.1,8.7,0.0
156,42011.5,13.9,2.7,2.0,1.2,8.6,0.0
157,42011.54167,13.9,2.6,1.9,1.1,8.6,0.0
158,42011.58333,13.8,2.4,1.8,1.2,8.1,0.0
159,42011.625,13.8,2.7,1.9,1.1,8.3,0.0
160,42011.66667,13.8,2.3,1.9,1.2,8.1,0.0
161,42011.70833,14.0,2.6,2.1,1.4,8.4,0.0
162,42011.75,13.9,2.5,1.9,1.2,7.9,0.0
163,42011.79167,14.0,2.7,2.1,1.3,8.7,0.0
164,42011.83333,14.0,2.9,2.2,1.4,8.6,0.0
165,42011.875,14.2,2.4,2.1,1.4,8.7,0.0
166,42011.91667,14.2,2.5,1.9,1.2,8.4,0.0
167,42011.95833,14.2,2.1,2.0,1.3,8.6,0.0
168,42012.0,14.0,2.3,1.6,1.0,8.6,0.0
169,42012.04167,13.8,2.5,1.8,1.1,8.6,0.0
170,42012.08333,13.7,2.3,1.8,1.1,8.9,0.0
171,42012.125,13.7,2.4,1.8,1.1,8.6,0.0
172,42012.16667,13.6,2.2,1.7,1.0,9.0,0.0
173,42012.20833,13.5,2.5,1.7,1.0,8.6,0.0
174,42012.25,13.4,2.6,1.8,1.1,8.9,0.0
175,42012.29167,13.4,1.8,1.6,1.0,8.7,1.0
176,42012.33333,13.3,2.1,1.7,1.0,8.7,1.0
177,42012.375,13.4,2.0,1.6,1.0,8.6,1.0
178,42012.41667,13.8,2.7,1.9,1.3,8.9,1.0
179,42012.45833,13.7,2.1,1.8,1.1,9.0,1.0
180,42012.5,13.9,2.4,2.1,1.3,9.0,1.0
181,42012.54167,13.9,2.9,1.9,1.2,8.7,1.0
182,42012.58333,13.8,2.4,1.8,1.2,8.9,1.0
183,42012.625,13.8,2.2,1.7,1.1,8.8,1.0
184,42012.66667,13.7,2.1,1.7,1.1,8.6,1.0
185,42012.70833,13.8,2.0,1.8,1.1,9.0,1.0
186,42012.75,14.0,2.4,1.9,1.2,9.2,1.0
187,42012.79167,14.0,2.3,1.8,1.2,9.7,1.0
188,42012.83333,14.0,2.1,1.8,1.2,9.6,1.0
189,42012.875,14.1,2.6,2.1,1.3,10.0,1.0
190,42012.91667,14.0,2.4,2.0,1.3,9.6,1.0
191,42012.95833,13.8,2.5,1.9,1.1,10.4,1.0
192,42013.0,13.6,3.0,2.5,1.5,10.8,1.0
193,42013.04167,13.8,3.4,2.7,1.7,10.8,1.0
194,42013.08333,13.8,3.1,2.5,1.6,10.6,1.0
195,42013.125,13.6,3.1,2.4,1.5,11.0,1.0
196,42013.16667,13.4,2.6,2.0,1.3,10.3,1.0
197,42013.20833,13.4,2.5,2.0,1.2,10.5,1.0
198,42013.25,13.5,2.8,2.2,1.4,10.1,1.0
199,42013.29167,13.4,2.7,2.1,1.2,9.9,1.0
200,42013.33333,13.6,2.8,2.1,1.4,9.8,1.0
201,42013.375,13.7,2.3,2.0,1.3,9.7,1.0
202,42013.41667,13.7,2.6,2.1,1.3,9.8,1.0
203,42013.45833,13.7,2.4,1.8,1.1,9.6,1.0
204,42013.5,13.8,2.4,1.8,1.1,9.7,1.0
205,42013.54167,13.8,2.4,1.8,1.1,9.7,1.0
206,42013.58333,13.8,2.1,1.6,1.0,9.3,1.0
207,42013.625,13.7,2.1,1.6,1.1,9.1,1.0
208,42013.66667,13.6,2.2,1.6,1.0,9.4,1.0
209,42013.70833,13.5,1.9,1.5,0.9,9.3,1.0
210,42013.75,13.5,2.0,1.5,0.9,9.8,1.0
211,42013.79167,13.4,2.1,1.5,0.9,9.7,1.0
